!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
kneeling	kneeling 🧎 🧎‍♂️ 🧎‍♀️ 🧎‍➡️ 🧎‍♀️‍➡️ 🧎‍♂️‍➡️
knees	knees 🧎 🧎‍♂️ 🧎‍♀️ 🧎‍➡️ 🧎‍♀️‍➡️ 🧎‍♂️‍➡️
knife	knife 🍽 🍴 🔪 🗡
knights	knights 🐉 ⚜
knit	knit 🧶
knobs	knobs 🎛
knocked	knocked 😵
knot	knot 🪢
know	know 🫴 🙋 🙋‍♂️ 🙋‍♀️
knowledge	knowledge 📖 📚
knows	knows 🤷 🤷‍♂️ 🤷‍♀️
knuckle	knuckle 👊
koala	koala 🐨
kosovo	kosovo 🇽🇰
kuaizi	kuaizi 🥢
kuwait	kuwait 🇰🇼
kyrgyzstan	kyrgyzstan 🇰🇬
lab	lab 🥼 🔍 🔎 🧪 🧫 🔬
label	label 🏷
lacrosse	lacrosse 🥍
ladder	ladder 🪜
lady	lady 👩 👩‍🦰 👩‍🦱 👩‍🦳 👩‍🦲 👵 🐞 👚 👜
ladybird	ladybird 🐞
ladybug	ladybug 🐞
lai	lai 🧧
lake	lake 🚣 🚣‍♂️ 🚣‍♀️ 🚤
lamb	lamb 🐑
lambchop	lambchop 🥩
lamp	lamp 🧞 🧞‍♂️ 🧞‍♀️ 🪔 🛋
landing	landing 🛬
landscape	landscape 🌆
lantern	lantern 🎃 🏮
laos	laos 🇱🇦
laptop	laptop 💻
large	large 🤪 🦣 🦤 ⭕ ⬛ ⬜ 🔶 🔷
last	last 🌗 🌜 ⏮
late	late 🫩 ⏰
later	later 👋
lather	lather 🧼
latin	latin ✝ 🔠 🔡 🔤
latvia	latvia 🇱🇻
laugh	laugh 😀 😄 😆 🤣 😂 😹
laughing	laughing 😹
launch	launch 🚀
laundry	laundry 🧺
lavash	lavash 🫓
lavatory	lavatory 🚹 🚺 🚻 🚾
lavender	lavender 🪻
law	law 🧑‍⚖️ 👨‍⚖️ 👩‍⚖️ 👮 👮‍♂️ 👮‍♀️
lazy	lazy 🦥
leaf	leaf 🌿 🍀 🍁 🍂 🍃 🔰
leafless	leafless 🪾
leafy	leafy 🥬
lebanon	lebanon 🇱🇧
lecturer	lecturer 🧑‍🏫 👨‍🏫 👩‍🏫
ledger	ledger 📒
leer	leer 😏
left	left 🗨 🫲 👈 🔍 🛅 ⬅ ↩ ↪ ◀
left-facing	left-facing 🤛
left-pointing	left-pointing 🔍
left-right	left-right ↔
leftward	leftward 🫲 🫷
leftwards	leftwards 🫲 🫷 🤛
leg	leg 🦿 🦵 🍗
legged	legged 🧘 🧘‍♂️ 🧘‍♀️
legit	legit 👌
legs	legs 🧘 🧘‍♂️ 🧘‍♀️
legume	legume 🫘 🫛
lemon	lemon 🍋
leo	leo 🦁 ♌
leopard	leopard 🐆
lesbian	lesbian 🌈 🏳️‍🌈
lesotho	lesotho 🇱🇸
letter	letter 💌 ✉ 📧 📨 📩 📤 📥
letters	letters 🔠 🔡 🔤
lettuce	lettuce 🥬
let’s	let’s 💃 🕺
level	level 🎚
levitating	levitating 🕴
lgbt	lgbt 🌈 🏳️‍🌈
lgbtq	lgbtq 🌈 🏳️‍🌈
lgbtqia	lgbtqia 🌈 🏳️‍🌈
liar	liar 🤥
liberia	liberia 🇱🇷
liberty	liberty 🗽
libra	libra ⚖ ♎
library	library 📖 📗 📘 📙 📚
libya	libya 🇱🇾
license	license 🪪
lick	lick 👅
lie	lie 🤥
liechtenstein	liechtenstein 🇱🇮
life	life 🪼 🛟 🧬
lifesaver	lifesaver 🛟
lift	lift 🫴 🚠 🛗
lifter	lifter 🏋 🏋️‍♂️ 🏋️‍♀️
lifting	lifting 🏋 🏋️‍♂️ 🏋️‍♀️
light	light 🩵 🪶 🚈 🚨 🚥 🚦 🧨 🕯 💡 🔦 🏮 🪔 🔆 🏳️‍⚧️
lightning	lightning ⛈ 🌩 ⚡
like	like 🩷 🩵 👍
lilac	lilac 🪻
limb	limb 🦵
lime	lime 🍋‍🟩
line	line 🫥
link	link 🖇 🔗
linked	linked 🖇
links	links 🔗
lion	lion 🦁 🦭 ♌
lip	lip 🫦
lips	lips 💋 👄
lipstick	lipstick 👄 🫦 💄
liquid	liquid 🫠 🫗 🫟
liquor	liquor 🥃
list	list 📋
listen	listen 🙉 👂
listening	listening 👂
lit	lit 🔥
litaf	litaf 🔥
lithuania	lithuania 🇱🇹
litter	litter 🚮 🚯
litterbin	litterbin 🚮
littering	littering 🚯
little	little 🤏
lives	lives ☯
lizard	lizard 🦎
llama	llama 🦙
lmao	lmao 🤣 😂 💀
loaf	loaf 🍞
lob	lob 🤾 🤾‍♂️ 🤾‍♀️
lobster	lobster 🦞
location	location 📍
lock	lock 🔒 🔓 🔏 🔐 🔑 🗝
locked	locked 🔒 🔏 🔐
locker	locker 🛅
locomotive	locomotive 🚂
log	log 🪵
lol	lol 😄 😆 🤣 😂 🫠 😒 😹
lollipop	lollipop 🍭
london	london 💂 💂‍♂️ 💂‍♀️
lonely	lonely 💔
long	long 🪘
look	look 👀
looking	looking 👀
loop	loop ➰ ➿
loopy	loopy 😜
loose	loose 🤙
lorry	lorry 🚛
losing	losing 😔 😞
lost	lost 😔
lotion	lotion 🧴
lotrstyle	lotrstyle 🧝
lotus	lotus 🧘 🧘‍♂️ 🧘‍♀️ 🪷
loud	loud 🔊 📢
loudly	loudly 😭
loudspeaker	loudspeaker 📢
love	love 🥰 😍 😘 😗 😙 😻 💌 💘 💓 💕 ❤️‍🔥 🩷 💛 💚 💙 🩵 💜 🩶 🫰 🤟 🫶 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩 🫂 💐 🌹 🏩 🪉
love-you	love-you 🤟
lover	lover 😘
loving	loving 💕
low	low 🔈 🪫 🔅
lowercase	lowercase 🔡
lowered	lowered 📪 📭
luck	luck 🫡 🤞 🧧
lucky	lucky 🍀
luge	luge 🛷
luggage	luggage 🧳 🛅
lumber	lumber 🪵 🪚
lunch	lunch 🍴
lung	lung 🫁
lungs	lungs 🫁
lupine	lupine 🪻
lure	lure 🪤
lust	lust ❤️‍🔥
luxembourg	luxembourg 🇱🇺
luxurious	luxurious 🧖 🧖‍♂️ 🧖‍♀️
luxury	luxury 🚤
lying	lying 🤥
m	m ⓜ
macaosarchina	macaosarchina 🇲🇴
machine	machine 🎰 📠
mad	mad 😖 😩 😤 😡 😠 🤬 💢 🗯 🧂 🍸
madagascar	madagascar 🇲🇬
maddening	maddening 😡 😠
mage	mage 🧙 🧙‍♂️ 🧙‍♀️
maggot	maggot 🪰
magic	magic 🧙 🧙‍♂️ 🧙‍♀️ 🧝 🧝‍♂️ 🧝‍♀️ ✨ 🔮 🪄 🎩
magical	magical 🧝 🧝‍♂️ 🧝‍♀️
magician	magician 🪄
magnet	magnet 🧲
magnetic	magnetic 🧭 🧲
magnifying	magnifying 🔍 🔎
mahjong	mahjong 🀄
mai	mai 🍹
mail	mail 💌 📧 📨 📩 📤 📥 📫 📪 📬 📭 📮
mailbox	mailbox 📫 📪 📬 📭 📮
maize	maize 🌽
major	major 🔑
makeup	makeup 💅 💄 🪞
malaria	malaria 🦟
malawi	malawi 🇲🇼
malaysia	malaysia 🇲🇾
maldives	maldives 🇲🇻
male	male 🐏 ♂
mali	mali 🇲🇱
malt	malt 🥤
malta	malta 🇲🇹
mammal	mammal 🫎 🫏
mammoth	mammoth 🦣
man	man 👨 🧔‍♂️ 👨‍🦰 👨‍🦱 👨‍🦳 👨‍🦲 👱‍♂️ 👴 🙍‍♂️ 🙎‍♂️ 🙅‍♂️ 🙆‍♂️ 💁‍♂️ 🙋‍♂️ 🧏‍♂️ 🙇‍♂️ 🤦‍♂️ 🤷‍♂️ 👨‍⚕️ 👨‍🎓 👨‍🏫 👨‍⚖️ 👨‍🌾 👨‍🍳 👨‍🔧 👨‍🏭 👨‍💼 👨‍🔬 👨‍💻 👨‍🎤 👨‍🎨 👨‍✈️ 👨‍🚀 👨‍🚒 👮‍♂️ 🕵️‍♂️ 💂‍♂️ 👷 👷‍♂️ 👷‍♀️ 👳‍♂️ 🤵‍♂️ 👰‍♂️ 🫃 👨‍🍼 🦸‍♂️ 🦹‍♂️ 🧙‍♂️ 🧚‍♂️ 🧛‍♂️ 🧝‍♂️ 🧞‍♂️ 🧟‍♂️ 💆‍♂️ 💇‍♂️ 🚶 🚶‍♂️ 🚶‍♀️ 🚶‍➡️ 🚶‍♀️‍➡️ 🚶‍♂️‍➡️ 🧍‍♂️ 🧎‍♂️ 🧎‍♂️‍➡️ 👨‍🦯 👨‍🦯‍➡️ 👨‍🦼 👨‍🦼‍➡️ 👨‍🦽 👨‍🦽‍➡️ 🏃‍♂️ 🏃‍♂️‍➡️ 🕺 🧖‍♂️ 🧗‍♂️ 🏌️‍♂️ 🏄‍♂️ 🚣‍♂️ 🏊‍♂️ 🏊‍♀️ ⛹️‍♂️ 🏋️‍♂️ 🚴‍♂️ 🚵‍♂️ 🤸‍♂️ 🤽‍♂️ 🤾‍♂️ 🤹‍♂️ 🧘‍♂️ 👫 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍👨 👨‍❤️‍👨 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧‍👧 ☃ ⛄ 👞 🚹
manage	manage 🤹 🤹‍♂️ 🤹‍♀️
manager	manager 🧑‍💼 👨‍💼 👩‍💼
mane	mane 🦁
mango	mango 🥭
manicure	manicure 💅
mantelpiece	mantelpiece 🕰
mantilla	mantilla 🧕
manual	manual 🧑‍🦽 🧑‍🦽‍➡️ 👨‍🦽 👨‍🦽‍➡️ 👩‍🦽 👩‍🦽‍➡️
man’s	man’s 👞
mao	mao 👲
map	map 🗺 🗾 📍
maple	maple 🍁
maracas	maracas 🪇
marathon	marathon 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️
marching	marching 🪈
margarita	margarita 🍋‍🟩
marine	marine 🪼
mark	mark ❣ 💋 📑 🔖 🔛 ‼ ⁉ ❓ ❔ ❕ ❗ ✅ ✔ ❌ ❎ 〽 ™ 🆙
marker	marker 📑
market	market 💹
married	married 💍
marshallislands	marshallislands 🇲🇭
marsupial	marsupial 🐨 🦘
martial	martial 🥋
martini	martini 🍸
martinique	martinique 🇲🇶
mary	mary 🪬
masjid	masjid 🕌
mask	mask 😷 👹 👺 🤿 🎭
massage	massage 💆 💆‍♂️ 💆‍♀️
mate	mate 🧉
math	math 📏 📐 ➖ ➗ 🟰
mathematician	mathematician 🧑‍🔬 👨‍🔬 👩‍🔬
matryoshka	matryoshka 🪆
mauritania	mauritania 🇲🇷
mauritius	mauritius 🇲🇺
maybe	maybe 🤷 🤷‍♂️ 🤷‍♀️
mayo	mayo 🪅
mayotte	mayotte 🇾🇹
maze	maze 🌽
ma’am	ma’am 🫡
mcdonaldislands	mcdonaldislands 🇭🇲
me	me 🫴 🤙 🙋 🙋‍♂️ 🙋‍♀️
mean	mean 👺
meat	meat 🍖 🥩 🥓 🥧
meatball	meatball 🧆
meatballs	meatballs 🍝
mechanic	mechanic 🧑‍🔧 👨‍🔧 👩‍🔧 🧰
mechanical	mechanical 🦾 🦿
medal	medal 🎖 🏅 🥇 🥈 🥉
media	media 📝
medical	medical 😷 🩻 ⚕
medicated	medicated 💊
medicine	medicine 😷 🏥 💉 🩸 💊 🩺 ⚕
medieval	medieval 👑
meditate	meditate 🙇 🙇‍♂️ 🙇‍♀️
meditation	meditation 🙇 🙇‍♂️ 🙇‍♀️ 🧘 🧘‍♂️ 🧘‍♀️
medium	medium ⭐ 🔉 ◼ ◻
medium-small	medium-small ◾ ◽
meeting	meeting 🤝
megaphone	megaphone 📣
meh	meh 😐 😑 🫥 😒 😕 🫤
melilla	melilla 🇪🇦
melon	melon 🍈
melt	melt 🫠
melted	melted 🫕
melting	melting 🫠
memo	memo 📝
memorial	memorial 🪦
men	men 👯‍♂️ 🤼‍♂️ 👬 🍸
mending	mending ❤️‍🩹
menorah	menorah 🕎
menstruation	menstruation 🩸
men’s	men’s 🚹
meow	meow 🐈‍⬛
mercy	mercy 🥺
meridians	meridians 🌐
mermaid	mermaid 🧜 🧜‍♀️
merman	merman 🧜 🧜‍♂️
merperson	merperson 🧜
merry	merry 🎅 🤶 🧑‍🎄
merwoman	merwoman 🧜‍♀️
mess	mess 🫟
message	message 💬
metal	metal 🪙
metro	metro 🚇
mexican	mexican 🌮 🌯 🫔
mexico	mexico 🇲🇽
mic	mic 🎙 🎤
microbe	microbe 🦠
micronesia	micronesia 🇫🇲
microphone	microphone 🎙 🎤
microscope	microscope 🔬
middle	middle 🖕
mild	mild 🤨
mildsurprise	mildsurprise 🤨
military	military 🎖 🪖
milk	milk 🐮 🐄 🐐 🍼 🥛 🧋
milky	milky 🌌
million	million 💰 💸 💲
millionaire	millionaire 🚤
mind	mind 🤯
mindblown	mindblown 🤯
minibus	minibus 🚐
minidisk	minidisk 💽
mining	mining ⛏
minus	minus ➖
miquelon	miquelon 🇵🇲
miriam	miriam 🪬
mirror	mirror 🪩 🪞
mischievous	mischievous 👿
miss	miss 😘 😢
moai	moai 🗿
mobile	mobile 📱 📲 📵 📶 📳 📴
mobility	mobility 🩼
mode	mode 📳
moisturizer	moisturizer 🧴
mojito	mojito 🍋‍🟩
moldova	moldova 🇲🇩
mollusk	mollusk 🦑
mom	mom 🤱 👩‍🍼
monaco	monaco 🇲🇨
monarch	monarch 🫅
money	money 🤑 🫰 🧧 💎 💰 🪙 💴 💵 💶 💷 💸 💳 💹 🏧 💱 💲
money-mouth	money-mouth 🤑
moneybag	moneybag 💰
mongolia	mongolia 🇲🇳
monitor	monitor 🖥
monkey	monkey 🙈 🙉 🙊 🐵 🐒 🦧
monocle	monocle 🧐
monorail	monorail 🚈 🚝
monster	monster 💀 ☠ 💩 👹 👺 👻 👽 👾 🤖 🧌
montenegro	montenegro 🇲🇪
monthly	monthly 🈷
montserrat	montserrat 🇲🇸
moo	moo 🐮 🐄
moon	moon 🥮 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌙 🌚 🌛 🌜 🌝 🎑
moose	moose 🫎
morning	morning 💖 ☕ 🌄 🌅
morocco	morocco 🇲🇦
mortar	mortar 🧱
mosque	mosque 🕌
mosquito	mosquito 🦟
mother	mother 🤱 👩‍🍼 🤶
motor	motor 🛵 🛥
motorboat	motorboat 🛥
motorcycle	motorcycle 🏍
motorized	motorized 🧑‍🦼 🧑‍🦼‍➡️ 👨‍🦼 👨‍🦼‍➡️ 👩‍🦼 👩‍🦼‍➡️
motorway	motorway 🛣
mount	mount 🗻
mountain	mountain 🧗 🧗‍♂️ 🧗‍♀️ 🚵 🚵‍♂️ 🚵‍♀️ 🏔 ⛰ 🌋 🗻 🚞 🚠
mountains	mountains 🌄
mouse	mouse 🐭 🐁 🖱 🪤
mousetrap	mousetrap 🪤
moustache	moustache 🥸
mouth	mouth 😃 😄 😆 😅 🤑 🤭 🫢 🤐 😶 🥴 🫤 😮 😦 😰 🤬 😺 👄
mouthless	mouthless 😶
move	move 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️ 🚛
movie	movie 🍿 🎥 🎞 📽 🎬 🎦
moyai	moyai 🗿
mozambique	mozambique 🇲🇿
mrs	mrs 🤶
muah	muah 😘 💗
mug	mug 🍺
mugs	mugs 🍻
mule	mule 🫏
multiplication	multiplication ✖ ❌ ❎
multiply	multiply ✖ ❌ ❎
multitask	multitask 🤹 🤹‍♂️ 🤹‍♀️
munch	munch 😱
muscle	muscle 💪
museum	museum 🖼 🎨
mushroom	mushroom 🍄 🍄‍🟫
music	music 🔊 🎼 🎵 🎶 🎙 🎚 🎛 🎤 🎷 🪗 🎸 🎹 🎺 🎻 🪕 🥁 🪇 🪈 🪉
musical	musical 🎼 🎵 🎶 🎹
muslim	muslim 🕌 🕋 ☪
mustache	mustache 🥸
mute	mute 😶 🔇 🔕
muted	muted 🔇
mwah	mwah 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩
mx	mx 🧑‍🎄
myanmarburma	myanmarburma 🇲🇲
mysterious	mysterious 👤
mystery	mystery 🫆
myth	myth 🧚 🧚‍♂️ 🧚‍♀️ 🧝 🧝‍♂️ 🧝‍♀️ 🧞 🧞‍♂️ 🧞‍♀️
mythology	mythology 🪽
naan	naan 🫓
nail	nail 💅
name	name 📛
namibia	namibia 🇳🇦
nanny	nanny 👩‍🍼 👨‍🍼 🧑‍🍼
nap	nap 😴 😫 🥱 🛌
nasty	nasty 🤢
national	national 🏞
natural	natural 🫚
nature	nature 🐌 🐝 🐞 🌵 🍄‍🟫 🌋 🗻 🌅 🌈 ⚡ 💧 🌊
nauru	nauru 🇳🇷
nauseated	nauseated 🤢
navigation	navigation 🧭
nazar	nazar 🧿
neck	neck 🧣
necklace	necklace 📿
necktie	necktie 👔
nectarine	nectarine 🍊
needle	needle 🧵 🪡 💉
negative	negative 📉 🧲
nepal	nepal 🇳🇵
neptune	neptune 🧜‍♂️
nerd	nerd 🤓
nerves	nerves 😟
nervous	nervous 😅 😟 😰 😓 💗 🫦
nest	nest 🪹 🪺
nesting	nesting 🪹 🪺 🪆
net	net ⛹ ⛹️‍♂️ ⛹️‍♀️ 🥅
netherlands	netherlands 🇳🇱
network	network 🛜
neutral	neutral 😐
nevis	nevis 🇰🇳
new	new 🗽 🌑 🌚 🆕
newborn	newborn 👶 👩‍🍼 👨‍🍼 🧑‍🍼 🐥
newcaledonia	newcaledonia 🇳🇨
news	news 📰 🗞
newspaper	newspaper 📰 🗞
newzealand	newzealand 🇳🇿
next	next ⏭
ng	ng 🆖
nib	nib ✒ 🔏
nicaragua	nicaragua 🇳🇮
nice	nice 😀 😁 😛 👏
niger	niger 🇳🇪
nigeria	nigeria 🇳🇬
night	night 😙 😪 😴 🥱 💖 💤 🛌 🌃 🌉 🌟 🌠
nine	nine 🕘 🕤 9️⃣
nine-thirty	nine-thirty 🕤
ninja	ninja 🥷
niue	niue 🇳🇺
no	no 🙂‍↔️ 🤯 😲 🙈 🙉 🙊 👎 🙅 🙅‍♂️ 🙅‍♀️ 🤦 🤦‍♂️ 🤦‍♀️ 🦲 🔕 ⛔ 🚫 🚳 🚭 🚯 🚷 📵 🔞 🈵
noble	noble 🫅
nod	nod 🙂‍↕️
non-drinking	non-drinking 🚱
non-potable	non-potable 🚱
noodle	noodle 🍜
nooo	nooo 😩
nope	nope 👎
norfolkisland	norfolkisland 🇳🇫
north	north ⬆
northeast	northeast ↗
northernmarianaislands	northernmarianaislands 🇲🇵
northkorea	northkorea 🇰🇵
northmacedonia	northmacedonia 🇲🇰
northwest	northwest ↖
norway	norway 🇳🇴
nose	nose 🥸 😤 👃 🐽 🚅
noses	noses 👃
nosey	nosey 👃
not	not 😑 😒 😕 🥺 😥 🙉 🙊 🙅 🙅‍♂️ 🙅‍♀️ 🤦 🤦‍♂️ 🤦‍♀️ ⏳ 🔕 ⛔ 🚫 🚳 🚭 🚯 🚷 📵 🔞 🈶
note	note 🎼 🎵 🎶 💴 💵 💶 💷 💸 🗒
notebook	notebook 📔 📓 📒
notepad	notepad 🗒
notes	notes 🎶 📝 📋
nothing	nothing 🫙
notice	notice 🪧
novels	novels 📖 📚
numbers	numbers 🔢
nuptials	nuptials 💒
nurse	nurse 🧑‍⚕️ 👨‍⚕️ 👩‍⚕️
nursing	nursing 🤱 👩‍🍼 👨‍🍼 🧑‍🍼
nurturing	nurturing 🪴
nut	nut 🥜 🔩
nutty	nutty 😜
ny	ny 🗽
nyc	nyc 🗽
o	o ⭕ 🅾
oar	oar 🚣 🚣‍♂️ 🚣‍♀️
oatmeal	oatmeal 🥣
oberon	oberon 🧚‍♂️
ocean	ocean 🧜 🧜‍♂️ 🧜‍♀️ 🏄 🏄‍♂️ 🏄‍♀️ 🐳 🐋 🐬 🦭 🐙 🪸 🪼 🌊
octagonal	octagonal 🛑
octoberfest	octoberfest 🍺
octopus	octopus 🐙
oden	oden 🍢
odor	odor 👃
off	off 📴 ☑
offer	offer 🫴
office	office 🧑‍💼 👨‍💼 👩‍💼 🏢 🏣 🏤 💻
officer	officer 👮 👮‍♂️ 👮‍♀️
ogre	ogre 👹
oh	oh 😐 😑 🙀 🤦 🤦‍♂️ 🤦‍♀️
oil	oil 🛢 🪔
ok	ok 🫡 👌 🙆 🙆‍♂️ 🙆‍♀️ 🆗
okay	okay 👌 🆗
oktoberfest	oktoberfest 🍺
old	old 🧓 👴 👵 🦳 📼 📇 🗝
olive	olive 🫒
om	om 🕉
oman	oman 🇴🇲
omg	omg 😝 🫢 😑 😒 🫨 😵‍💫 😮 😯 😲 🙈 👀 🙆 🙆‍♂️ 🙆‍♀️ 🤦 🤦‍♂️ 🤦‍♀️
omw	omw 👣 🔜
on!	on! 🔛
once	once 🔂
oncoming	oncoming 👊 🚍 🚔 🚖 🚘
one	one 👁 🐪 🕐 🕜 🔞 1️⃣
one-piece	one-piece 🩱 🩲
one-thirty	one-thirty 🕜
onion	onion 🧅
oolong	oolong 🍵
oops	oops 🤭 🙊 🫗
open	open 😃 😄 😆 😅 🤗 🫢 😮 😦 😰 😺 👐 📖 📬 📭 📂 🔓 🈺
opening	opening 🪟
ophiuchus	ophiuchus 🐍 ⛎
optical	optical 💽 💿 📀
orange	orange 🧡 🍊 📙 🟠 🟧 🔶 🔸
orangutan	orangutan 🦧
orchestra	orchestra 🪈 🪉
order	order 🦁
organ	organ 🫀 🫁
orienteering	orienteering 🧭
ornithology	ornithology 🐔 🐓 🐤 🐥 🐦 🐧 🕊 🦅 🦆 🦢 🦉 🦤 🦩 🦚 🦜 🐦‍⬛ 🪿
orthodox	orthodox ☦
orthoptera	orthoptera 🦗
ostentatious	ostentatious 🦚
otter	otter 🦦
ouch	ouch 🤕 🪼
out	out 😵
outbox	outbox 📤
outdoors	outdoors 🌻 🥾
outgoing	outgoing 📩
outlined	outlined ☺ ❔ ❕ 🔳
outtie	outtie 👋
over	over 🫢 👮 👮‍♂️ 👮‍♀️ 🍳 🌄
overeat	overeat 🫃 🫄
owl	owl 🦉
ox	ox 🐂 ♉
oyster	oyster 🦪 🥡
o’clock	o’clock 🕛 🕐 🕑 🕒 🕓 🕔 🕕 🕖 🕗 🕘 🕙 🕚
p	p 🅿
pace	pace 🚶 🚶‍♂️ 🚶‍♀️ 🚶‍➡️ 🚶‍♀️‍➡️ 🚶‍♂️‍➡️
package	package 📦
packing	packing 🧳 🛃 🛄
pad	pad 🗒 🗓
paddle	paddle 🚣 🚣‍♂️ 🚣‍♀️ 🏓
paella	paella 🥘
page	page 📃 📄
pager	pager 📟
paid	paid 🤑 💰
pail	pail 🥡 🪣
pain	pain 🥲
paint	paint 🫟
paintbrush	paintbrush 🖌
painter	painter 🎨
painting	painting 🖼 🎨 🖌
pair	pair 👯 👯‍♂️ 👯‍♀️
pakistan	pakistan 🇵🇰
palace	palace 💂 💂‍♂️ 💂‍♀️
palau	palau 🇵🇼
palestinianterritories	palestinianterritories 🇵🇸
palette	palette 🧑‍🎨 👨‍🎨 👩‍🎨
palm	palm 🫳 🫴 🌴 🥥 🪬
palms	palms 🤲
pamonha	pamonha 🫔
pamper	pamper 🧖 🧖‍♂️ 🧖‍♀️
pan	pan 🍳 🥘
panama	panama 🇵🇦
pancake	pancake 🥞
pancakes	pancakes 🥞
panda	panda 🐼
panic	panic 🫨
panting	panting 🥵
pants	pants 👖 🩳
paper	paper 🏮 📃 📜 📄 📰 🗞 ✂ 🗄 🧻
paperclip	paperclip 📎 🖇
paperclips	paperclips 🖇
papuanewguinea	papuanewguinea 🇵🇬
parachute	parachute 🪂
paraguay	paraguay 🇵🇾
parasail	parasail 🪂
parasite	parasite 🪱
parcel	parcel 📦
parent	parent 🧑‍🍼
park	park 🏞 🛝 🎡 🎢
parking	parking 🅿
parlor	parlor 💇 💇‍♂️ 💇‍♀️
parrot	parrot 🦜
part	part 〽
party	party 😛 😜 🥳 👯 👯‍♂️ 👯‍♀️ 🍹 🎉 🎊 🪅 🪩 👒 🪇
partying	partying 🥳 👯 👯‍♂️ 👯‍♀️
pass	pass ⛔
passenger	passenger 🛳 ⛴ 🚢
passing	passing 🈴
passport	passport 🛂
password	password 🔑
pasta	pasta 🍝
pastry	pastry 🍥 🎂 🍰 🥧
patience	patience 🤌
patrol	patrol 🚓
pause	pause 🫷 🫸 ⏯ ⏸
paw	paw 🐾
pawn	pawn ♟
paws	paws 🐾
pay	pay 💸 💳 💲
paying	paying 💰
pc	pc 💻
pea	pea 🫛
peace	peace 😌 ✌ 🧘 🧘‍♂️ 🧘‍♀️ 🕊 🪷 ☮
peaceful	peaceful 😇 ☮
peach	peach 🍑
peacock	peacock 🦚
peahen	peahen 🦚
peanut	peanut 🥜
peanuts	peanuts 🥜
pear	pear 🍐
pearl	pearl 🦪 🧋 🫧
pearly	pearly 🦷
pedestrian	pedestrian 🚶 🚶‍♂️ 🚶‍♀️ 🚶‍➡️ 🚶‍♀️‍➡️ 🚶‍♂️‍➡️ 🚸 🚷
pedestrians	pedestrians 🚷
peek	peek 🫣
peeking	peeking 🫣
peep	peep 🫣 👀
pen	pen ✒ 🖋 🖊 🔏
penalty	penalty 🟥 🟨
pencil	pencil ✏ 📝
penguin	penguin 🐧
pensive	pensive 😔
people	people 👯 👯‍♂️ 👯‍♀️ 🤼 🧑‍🤝‍🧑 👥 🫂
pepper	pepper 🌶 🫑
pepperoni	pepperoni 🍕
percussion	percussion 🪇
perfect	perfect 💯
performing	performing 🎭
persevere	persevere 😣
persevering	persevering 😣
person	person 🥸 🧑 👱 🧔 🧑‍🦰 🧑‍🦱 🧑‍🦳 🧑‍🦲 🧓 🙍 🙎 🙅 🙆 💁 🙋 🧏 🙇 🤦 🤷 🥷 👷 🫅 👳 👲 🤵 👰 🫄 🧚 🧚‍♂️ 🧚‍♀️ 💆 💇 💇‍♂️ 💇‍♀️ 🚶 🚶‍➡️ 🧍 🧎 🧎‍➡️ 🧑‍🦯 🧑‍🦯‍➡️ 🧑‍🦼 🧑‍🦼‍➡️ 🧑‍🦽 🧑‍🦽‍➡️ 🏃 🏃‍➡️ 🕴 🧖 🧗 🤺 🏌 🏄 🏄‍♀️ 🚣 🏊 ⛹ 🏋 🚴 🚵 🤸 🤽 🤾 🤹 🧘 🛀 🛌 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
personal	personal 💻
peru	peru 🇵🇪
pest	pest 🪳 🦟 🪰
pester	pester 🦡
pet	pet 🐶 🐕 🐱 🐈 🐹 🐰 🐇
petri	petri 🧫
pga	pga 🏌 🏌️‍♂️ 🏌️‍♀️
philippines	philippines 🇵🇭
pho	pho 🍜
phoenix	phoenix 🐦‍🔥
phone	phone 🤳 📱 📲 ☎ 📞 📵 📶 📳 📴
phones	phones 📵
photo	photo 📷
physicist	physicist 🧑‍🔬 👨‍🔬 👩‍🔬
pi	pi 👲
piano	piano 🎹
piccolo	piccolo 🪈
pick	pick 🫳 🙋 🙋‍♂️ 🙋‍♀️ 🪮 ⛏ ⚒
pick-up	pick-up 🛻
picket	picket 🪧
pickle	pickle 🥒
pickup	pickup 🛻
picnic	picnic 🧺
