!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
bundle	bundle 🧣 🧥
bunny	bunny 👯 👯‍♂️ 👯‍♀️ 🐰 🐇
buoy	buoy 🛟
burger	burger 🍔
burgers	burgers 🥬
burkinafaso	burkinafaso 🇧🇫
burn	burn ❤️‍🔥 🪼
burp	burp 🫧
burrito	burrito 🌯
burro	burro 🫏
burundi	burundi 🇧🇮
bury	bury 🪏
bus	bus 🚋 🚌 🚍 🚎 🚐 🚏
business	business 🧑‍💼 👨‍💼 👩‍💼 🕴 🈺
busstop	busstop 🚏
bust	bust 👤 👥
busts	busts 👥
butter	butter 🧈
buttercup	buttercup 🌼
butterflies	butterflies 😟
butterfly	butterfly 🦋
button	button 🔄 🔀 🔁 🔂 ▶ ⏩ ⏭ ⏯ ◀ ⏪ ⏮ 🔼 ⏫ 🔽 ⏬ ⏸ ⏹ ⏺ ⏏ 🔅 🔆 ✅ ❎ 🅰 🆎 🅱 🆑 🆒 🆓 🆔 🆕 🆖 🅾 🆗 🅿 🆘 🆙 🆚 🈁 🈂 🈷 🈶 🈯 🉐 🈹 🈚 🈲 🉑 🈸 🈴 🈳 ㊗ ㊙ 🈺 🈵 🔘 🔳 🔲
bye	bye 👋
c	c 🍊 ©
cab	cab 🚕 🚖
cabbage	cabbage 🥬 🥦
cabbie	cabbie 🚕 🚖
cabinet	cabinet 🗄
cable	cable 🚠 🚡
cableway	cableway 🚠
caboose	caboose 🚂
cactus	cactus 🌵
caddy	caddy 🏌 🏌️‍♂️ 🏌️‍♀️
cafe	cafe ☕
caffeine	caffeine ☕
caicosislands	caicosislands 🇹🇨
cake	cake 🍥 🥮 🎂 🍰
calculation	calculation 🧮
calculator	calculator 🧮
calendar	calendar 📅 📆 🗓
call	call 😥 🤙 📲
calm	calm 😌 🪷
cambodia	cambodia 🇰🇭
camcorder	camcorder 📹
camel	camel 🐪 🐫
camera	camera 🤳 🎥 📷 📸 📹 🎦
cameroon	cameroon 🇨🇲
camping	camping 🏕 ⛺ 🥾
can	can 🥫 🗑
canada	canada 🇨🇦
canaryislands	canaryislands 🇮🇨
cancel	cancel ✖ ❌
cancer	cancer 🦀 ♋
candelabrum	candelabrum 🕎
candle	candle 🕯
candlestick	candlestick 🕎
candy	candy 🍫 🍬 🍭 🪅
cane	cane 🧑‍🦯 🧑‍🦯‍➡️ 👨‍🦯 👨‍🦯‍➡️ 👩‍🦯 👩‍🦯‍➡️ 🩼
canned	canned 🥫
canoe	canoe 🚣 🚣‍♂️ 🚣‍♀️ 🛶
cantaloupe	cantaloupe 🍈
cap	cap 👲 🎓 🧢
capeverde	capeverde 🇨🇻
capricorn	capricorn 🐐 ♑
capsicum	capsicum 🫑
captivated	captivated 🫣
car	car 🚃 🚞 🚋 🚓 🚔 🚕 🚗 🚘 🚙 🛻 🚚 🚛 🏎 🛞 🚨 🚡
carbs	carbs 🍞
card	card ♠ ♥ ♦ ♣ 🃏 🎴 💳 🗂 📇 🗃 🪧 🪪 🟥 🟨
cardiac	cardiac 💛
cardinal	cardinal ⬆ ➡ ⬇ ⬅
cardio	cardio 💓
cardiology	cardiology 🫀
cards	cards 🎴
care	care 💅
caribbeannetherlands	caribbeannetherlands 🇧🇶
carousel	carousel 🎠
carp	carp 🎏
carpenter	carpenter 🪚
carpentry	carpentry 🪚
carrot	carrot 🥕
cars	cars 🚍 🚖 🚘
cart	cart 🛒
cartoon	cartoon 💭
cartwheel	cartwheel 🤸 🤸‍♂️ 🤸‍♀️
cartwheeling	cartwheeling 🤸 🤸‍♂️ 🤸‍♀️
case	case 🛄 🛅
cash	cash 💰 💷 💸 💳 🏧 💲
casino	casino 🎰
cask	cask 🪣
casserole	casserole 🥘
castle	castle 🏯 🏰
casual	casual 👕 👖
cat	cat 😺 😸 😹 😻 😼 😽 🙀 😿 😾 🐱 🐈 🐈‍⬛ 🐯 🐅 🐆
catch	catch 🫴 🤾 🤾‍♂️ 🤾‍♀️ 🪝
cats	cats 🐈
caught	caught 😦
caution	caution ⚠
cavities	cavities 🍬
caw	caw 🐦‍⬛
caymanislands	caymanislands 🇰🇾
cd	cd 💿 📀
celebrate	celebrate 🥳 🥂 🎈 🎉 🎊 🪅
